distance_road_surface,z_height_road_surface
0,0.00254641753792387
0.05,0.00608639132060209
0.1,0.00202105165454658
0.15,1.41692066404984E-05
0.2,0.000422456606779956
0.25,0.000736140555999132
0.3,0.000835331235089084
0.35,0.000370990697402207
0.4,0.000863150937089597
0.45,0.000910333416033229
0.5,0.000709795350138166
0.55,0.000190014455726205
0.6,0.000670428715592361
0.65,0.000666537370984965
0.7,3.68523925672047E-05
0.75,0.000486553043132272
0.8,0.000804982168761543
0.85,0.000814080205545995
0.9,0.000901105326088864
0.95,0.000700092112496899
1,0.000219154531500633
1.05,0.000838690956952174
1.1,0.000140736934681472
1.15,0.000108828145988299
1.2,0.000990206417822541
1.25,0.000977246855876373
1.3,0.000964668297120739
1.35,0.000174729067518642
1.4,0.00052267848189348
1.45,5.09923871296456E-05
1.5,0.000276664244321668
1.55,0.000106339683906494
1.6,0.00064980191435287
1.65,0.000431486931822733
1.7,0.000129097735347822
1.75,0.000217272469025689
1.8,0.000859987331581459
1.85,0.000416843838524198
1.9,0.000483164065039015
1.95,0.000985996653260515
2,0.000793136674433645
2.05,5.23362807137443E-05
2.1,0.000873248871943571
2.15,0.000775397518934914
2.2,0.000422545975084789
2.25,3.3256575045044E-05
2.3,0.000336140078292859
2.35,0.000107202490883693
2.4,0.000948406842668818
2.45,0.000830716787200926
2.5,0.000733313500881928
2.55,0.000781937917623557
2.6,0.000610444629349429
2.65,0.000171634998355084
2.7,2.21786273205301E-05
2.75,8.48828095626086E-06
2.8,0.000856545395485452
2.85,0.00095957030212034
2.9,0.000249936327159133
2.95,0.000283431838274502
3,1.5497792281599E-05
3.05,0.000644792798156101
3.1,0.000887267480486493
3.15,0.000718803459388158
3.2,0.000152980390889461
3.25,0.000791093667240192
3.3,0.000715749359054762
3.35,0.000853771128844824
3.4,0.000639527897945506
3.45,3.3729375124772E-05
3.5,0.000165054053467958
3.55,0.000364648500388726
3.6,0.000343955999759579
3.65,5.58043829853543E-05
3.7,0.000839606984147235
3.75,0.000552553227290203
3.8,0.00072161476039451
3.85,0.000756188983059214
3.9,1.13405132708835E-05
3.95,0.000382989502731009
4,0.000605367467899029
4.05,0.000240576879516442
4.1,0.000745487927068409
4.15,0.000565060835198318
4.2,0.000264139985933412
4.25,0.000812503541051158
4.3,2.27512589614965E-05
4.35,0.000893006247316705
4.4,0.000769564404576825
4.45,0.000822730691046128
4.5,0.000482750091381619
4.55,0.000763652034157167
4.6,0.000423618354686685
4.65,0.000691143328737201
4.7,0.000414405176211651
4.75,0.000293313942400652
4.8,0.000917646262003321
4.85,0.000613863515271488
4.9,0.000293216551754006
4.95,0.000706217197352844
5,0.000374468355606252
5.05,0.000732694382683691
5.1,7.12548472054405E-05
5.15,0.000660174623226341
5.2,0.000298479945088401
5.25,0.000235219999402127
5.3,0.000162202009140951
5.35,0.000868793144557627
5.4,0.000240190476667576
5.45,0.000357986922878367
5.5,0.00082644659112972
5.55,0.000960840463160881
5.6,0.000344695000471812
5.65,0.000975386098340166
5.7,7.9461445988841E-05
5.75,0.000115447052035716
5.8,0.000804574185186113
5.85,0.000566438807000261
5.9,0.000553062769353834
5.95,0.000887041119791975
6,0.00081138011040172
6.05,0.000699569415406415
6.1,0.000337128134678107
6.15,4.42247550655638E-05
6.2,8.82081546730331E-05
6.25,0.000598924513711319
6.3,2.76850658665004E-05
6.35,0.000250181940652529
6.4,0.000100816836296288
6.45,0.000470014062615603
6.5,0.000279847083510641
6.55,0.000116590662415065
6.6,0.00055533252498886
6.65,0.000615652483845678
6.7,0.000130477999244834
6.75,0.000817414111952888
6.8,9.45944269723638E-05
6.85,0.000884370587017242
6.9,0.000579058682228344
6.95,0.000412838099655351
7,0.000264753533290668
7.05,0.000311856526784469
7.1,6.52852477300662E-05
7.15,0.000678594022687133
7.2,0.000847246655251438
7.25,0.000808204274370145
7.3,0.000940239162510813
7.35,1.46967062066349E-05
7.4,0.000741319501700464
7.45,0.000502022770155165
7.5,0.00071625394059794
7.55,0.000209472054415674
7.6,0.000923718805008081
7.65,0.000582412018089408
7.7,0.000477390644385161
7.75,0.000136321740857756
7.8,0.000866975380544328
7.85,0.00066037151849369
7.9,0.000660618479839738
7.95,0.000394395858270912
8,0.000489434849086516
8.05,0.000333595324116641
8.1,1.56201046678546E-05
8.15,0.000774673182748315
8.2,0.000466592762112362
